shift,delta,n_cell,is_observed
47074,0.0005233279468385541,153,False
93271,0.0007712811691714198,211,False
4859,0.000720108195057032,218,False
53805,-9.166881253506171e-05,195,False
67595,0.0014335996206191414,179,False
151989,0.00011236673748790797,195,False
33262,0.001312616367527758,185,False
42839,0.0004916737452223095,160,False
63238,-0.0007186031534682233,190,False
153523,0.0013517298029209783,229,False
131998,0.0004492117724624363,232,False
5458,0.0003212557389133233,186,False
36253,0.00017967329145993034,188,False
127094,0.0005435426762655204,190,False
9107,0.00015356381722573875,231,False
132349,0.0009571957409737451,270,False
43586,0.0009073142280106403,189,False
141929,0.0005044712663596662,192,False
45474,-0.00035954847042693656,247,False
67224,0.0013963106956722821,169,False
102402,0.000940465567298578,218,False
19614,3.226283327812175e-05,177,False
86191,-0.00022958971833344623,248,False
78151,0.00020392268732578048,184,False
121256,0.0012252151063739634,221,False
154055,0.0004670252960573471,225,False
102772,0.0015097437154967827,193,False
63340,-0.00023041845025468234,184,False
62907,-0.0008119080643886502,141,False
64696,4.766190666969717e-05,193,False
125911,-0.0006974859234236474,207,False
49743,-0.00042651133678711834,197,False
25903,0.0011245101138230745,235,False
51764,-0.00023292693689592556,189,False
3606,0.0013166799020096838,187,False
16501,3.031629128287979e-05,226,False
14013,0.0009353961997548781,218,False
119347,0.0009402241904318772,195,False
111744,5.700155313590431e-05,199,False
107789,0.0009390659594606701,217,False
71484,-2.6989954404465942e-05,140,False
110925,0.0001938650372757219,191,False
25022,0.0005085762940774136,219,False
139296,0.0006086645629533636,199,False
77537,2.888345121659197e-05,193,False
145082,0.0009484584672445313,200,False
23637,-0.0002705375751528361,187,False
76963,0.00016857750812263026,232,False
107719,0.0015967896608486847,220,False
76700,4.671591043324944e-05,201,False
69054,0.0006083446184294679,159,False
25786,0.0002611187919598808,219,False
58987,0.0004475430738801044,214,False
36999,0.0012036637509568891,169,False
46698,-0.0006879150203568158,214,False
105769,0.0008794344611945443,203,False
97513,0.0008193346087547002,211,False
93944,0.00041192422488248105,240,False
56018,0.0003438474503833982,189,False
148427,0.0006025106568726057,238,False
13643,0.000269621833067403,206,False
53047,-0.0005352683970354055,227,False
18335,-7.083722125074758e-05,212,False
52483,0.00038073019027770724,249,False
148767,0.0008267319825476022,231,False
56706,-0.0006264588850751112,214,False
140527,0.0009255364250696319,233,False
76613,0.00023060633188891702,193,False
108243,0.00040517832745254497,216,False
70794,0.00017131341355789486,170,False
41189,0.0004406579695291528,204,False
118216,0.0007488817707114459,212,False
149892,0.0008089920827001688,207,False
40826,0.0003274607706767878,180,False
120460,-0.0003436273775289247,217,False
40458,0.00029565509724137687,175,False
110899,0.0008863182162260126,221,False
122045,-0.0003315758959414521,176,False
69549,0.0005072921660448804,165,False
113995,0.00022229903812734692,191,False
42173,0.0006156463096040807,173,False
12345,0.0010656527076048675,218,False
14994,3.885701951554879e-05,195,False
69188,0.00015354685743874144,169,False
139603,0.0009161456389521803,187,False
19814,0.0005368858318331621,195,False
70541,0.0005193033228961479,225,False
108911,0.0005086840057747018,205,False
31373,-0.00033581296354280566,200,False
111629,0.0010202129599448488,234,False
47384,-0.0004397427710313975,204,False
125083,0.0006439926502730877,218,False
89620,-0.0007796648555834525,232,False
84626,0.0004955057105711366,272,False
27418,0.0006979385570181771,232,False
71689,0.0001303769270392994,182,False
132495,0.0003823896721803999,238,False
3113,0.0008936566795491731,229,False
117333,0.0015082423171950234,232,False
76257,0.00012526664288028868,200,False
111296,0.0010763908956691725,171,False
102616,0.0009702504889232381,205,False
66880,0.0008439629154372356,210,False
47803,-0.00023033311231786407,221,False
97053,0.00021176200851188916,215,False
21769,0.00036835237670944756,223,False
90374,0.0009283311208837449,230,False
14732,0.0001456871938925605,177,False
100536,0.0018397291464706512,173,False
97275,0.0014451419682354099,177,False
13147,0.0008916578182963794,208,False
117174,-0.0003332892566658795,248,False
64363,-0.0004773838396482078,177,False
121717,-0.00016039830727236347,250,False
6527,0.0007890015267348903,219,False
27832,0.001173153965384071,228,False
76447,0.0003054489845807143,198,False
29188,9.435299836545298e-05,210,False
51079,0.0004799471131430291,208,False
102198,0.0018067513218278078,187,False
22433,-8.23903323266012e-05,186,False
104842,0.0010280813322580244,196,False
16078,-0.00019718992502510972,193,False
27172,0.0003916400974452013,240,False
90922,4.669764441650408e-06,213,False
122737,0.0015551102289862347,213,False
26463,0.0006611013677038687,234,False
46463,-9.91347042030181e-05,188,False
143083,0.0006460035177704863,202,False
153062,0.0005309432349020315,199,False
89905,-0.00020602755429653753,232,False
69190,0.0002495859286693796,167,False
53708,-0.00014279192616356017,205,False
94757,0.0008881251749725449,198,False
91428,0.0004588747429280257,240,False
45653,-0.00022151711002290936,204,False
3620,0.0010461337845463132,203,False
23511,0.0003055368239457735,171,False
148251,0.0008928334608962143,192,False
64726,-0.00023973213487899796,174,False
74641,-0.00044915162684260783,187,False
72292,-0.0008383575233936075,174,False
121076,0.000557116931406174,225,False
10135,0.0009384977597246123,205,False
12882,0.0011772635485273,192,False
42731,2.7487296864896783e-05,199,False
75314,0.00017222455878984115,188,False
103825,0.0010443736802337763,195,False
75940,0.0007738541229213061,196,False
68283,-0.00012375116310171935,178,False
145047,0.0016487310445086306,211,False
24983,0.00010657333353763617,180,False
88462,-0.0007818499241222455,186,False
83905,0.0002792259690989475,255,False
73278,-0.000761753905799747,181,False
124919,0.0016606421887426946,183,False
41360,-0.0003372147264057039,200,False
147512,0.0006477026297787742,200,False
51343,0.0009278564213048997,238,False
84332,0.0006230542852774881,225,False
80571,-0.0004331526818847608,210,False
131438,0.0004005817644355563,281,False
67934,0.0002907185323363986,172,False
44077,-0.00010971760106183716,187,False
3436,0.0008600612909711679,218,False
56306,-0.0009946200662852675,194,False
127808,0.0006935856750467819,203,False
1628,0.0016491884099319907,250,False
138607,0.0011540385530545104,223,False
83995,-0.00022813836850159904,292,False
21773,0.0006533764768292913,223,False
46801,0.0003362546364335243,207,False
85728,-0.0010887183212797576,213,False
48889,-0.00012582409223739737,186,False
16877,7.66427939535089e-05,190,False
103031,0.0011321083126178636,198,False
103998,0.002221195321716303,174,False
18469,-0.0007829889505141669,178,False
43563,0.0007819553206900403,188,False
37789,0.0007518052261367423,213,False
102017,0.0030758105843328044,207,False
112971,-6.171953850501453e-05,215,False
112461,-0.0005965627235147927,170,False
145191,0.0003163615823729318,204,False
118898,0.0006700830591779516,260,False
49660,-0.0005146193726811154,173,False
16748,0.00014637611121517884,200,False
95095,0.0001165099024970318,208,False
141675,0.000677384273037379,242,False
150816,0.000545537506095951,243,False
35678,0.0003500585370524689,211,False
36642,0.0008377142902397269,199,False
5878,0.00048689152131469425,217,False
21929,0.0005789259333347174,201,False
85854,-0.0004590311748936079,241,False
84610,0.0006947053597717583,231,False
57426,-0.00042001747639464385,198,False
48003,7.413212990476994e-05,205,False
128349,0.00019338538808258456,235,False
71199,2.7164648898992908e-05,232,False
125020,-0.00013412292374765912,176,False
