dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-07-08 00:00:00+00:00,-0.015165675555122307,0.043000354745853085,,,
cmc_fixed62_historical_current,daily,2018-07-09 00:00:00+00:00,-0.01754102563153781,0.043022712400367945,,,
cmc_fixed62_historical_current,daily,2018-07-10 00:00:00+00:00,-0.07238115501372289,0.04304451369715194,,,
cmc_fixed62_historical_current,daily,2018-07-11 00:00:00+00:00,0.015214414473718088,0.0392579438820651,,,
cmc_fixed62_historical_current,daily,2018-07-12 00:00:00+00:00,-0.031555083726751205,0.03919244320293859,,,
cmc_fixed62_historical_current,daily,2018-07-13 00:00:00+00:00,0.010121709410056103,0.03786969888967352,,,
cmc_fixed62_historical_current,daily,2018-07-14 00:00:00+00:00,0.004935097155972421,0.03735051117774042,,,
cmc_fixed62_historical_current,daily,2018-07-15 00:00:00+00:00,0.021622206040203554,0.035162858960634286,,,
cmc_fixed62_historical_current,daily,2018-07-16 00:00:00+00:00,0.0691550959110528,0.03467417046301185,,,
cmc_fixed62_historical_current,daily,2018-07-17 00:00:00+00:00,0.06683364646538303,0.037007395297589084,,,
cmc_fixed62_historical_current,daily,2018-07-18 00:00:00+00:00,-0.006807297173783275,0.038984514205172134,,,
cmc_fixed62_historical_current,daily,2018-07-19 00:00:00+00:00,-0.0023444130881715773,0.038584331468948414,,,
cmc_fixed62_historical_current,daily,2018-07-20 00:00:00+00:00,-0.038858448532899825,0.038496417607026226,0.04387406414194915,0.051595287993209636,low
cmc_fixed62_historical_current,daily,2018-07-21 00:00:00+00:00,0.017312942005610753,0.039131842626962496,0.04382839075476042,0.051516181526342894,low
cmc_fixed62_historical_current,daily,2018-07-22 00:00:00+00:00,-0.004504428629309234,0.03923887172208932,0.043760341807423345,0.05149473333638333,low
cmc_fixed62_historical_current,daily,2018-07-23 00:00:00+00:00,0.01362458140689385,0.032713859526142725,0.04359693216140094,0.05147328514746162,low
cmc_fixed62_historical_current,daily,2018-07-24 00:00:00+00:00,0.07526662133218749,0.03273884873480028,0.04333816182139136,0.05145183695853991,low
cmc_fixed62_historical_current,daily,2018-07-25 00:00:00+00:00,-0.01869686963837213,0.034986297725982086,0.0432145336916482,0.051403396407437046,low
cmc_fixed62_historical_current,daily,2018-07-26 00:00:00+00:00,-0.026789177965965673,0.03526271206196659,0.04311665098366144,0.05135495585584022,low
cmc_fixed62_historical_current,daily,2018-07-27 00:00:00+00:00,0.019942647407383815,0.03446709479789533,0.04304451369711611,0.0513065153042434,low
cmc_fixed62_historical_current,daily,2018-07-28 00:00:00+00:00,0.00039534704150610177,0.03448624616140572,0.043040660844418294,0.05127147675495325,low
cmc_fixed62_historical_current,daily,2018-07-29 00:00:00+00:00,0.0018566015270307787,0.03285545303405447,0.04303339374542591,0.05123643820591237,low
cmc_fixed62_historical_current,daily,2018-07-30 00:00:00+00:00,-0.015327996151724857,0.03208442011000722,0.04302271240022709,0.051201399656871496,low
cmc_fixed62_historical_current,daily,2018-07-31 00:00:00+00:00,-0.050432187086796455,0.031774803888029016,0.04300780729721644,0.051200504402781566,low
cmc_fixed62_historical_current,daily,2018-08-01 00:00:00+00:00,-0.017339944719164148,0.033320924946010376,0.04296426969922901,0.051199609149336946,low
cmc_fixed62_historical_current,daily,2018-08-02 00:00:00+00:00,-0.019777923948579572,0.03237328612600299,0.042892099607313716,0.05119871389589232,low
cmc_fixed62_historical_current,daily,2018-08-03 00:00:00+00:00,-0.005377887554078406,0.0324511790876212,0.04281555744480217,0.05111294250079318,low
cmc_fixed62_historical_current,daily,2018-08-04 00:00:00+00:00,-0.046302996814762354,0.032412789074562263,0.042750520528627586,0.05102717110406441,low
cmc_fixed62_historical_current,daily,2018-08-05 00:00:00+00:00,0.010579065808111823,0.033501210358653714,0.04269698885863312,0.05094139970733565,low
cmc_fixed62_historical_current,daily,2018-08-06 00:00:00+00:00,-0.018672369500969503,0.03357316831433213,0.04267303824757521,0.050876222055366654,low
cmc_fixed62_historical_current,daily,2018-08-07 00:00:00+00:00,-0.04467171433301816,0.03318358713090529,0.042650303482871146,0.050811044403799244,low
cmc_fixed62_historical_current,daily,2018-08-08 00:00:00+00:00,-0.08396792388425779,0.03399317649525197,0.04262878456448394,0.05074586675223183,low
cmc_fixed62_historical_current,daily,2018-08-09 00:00:00+00:00,0.04071968112116825,0.036960812457657505,0.04260835415388347,0.05070789217545768,low
cmc_fixed62_historical_current,daily,2018-08-10 00:00:00+00:00,-0.06855782665588124,0.03569207976658655,0.0425874711950155,0.050669917599222146,low
cmc_fixed62_historical_current,daily,2018-08-11 00:00:00+00:00,-0.006948867559244105,0.03751873523203406,0.042566135687451524,0.050631943022986604,low
cmc_fixed62_historical_current,daily,2018-08-12 00:00:00+00:00,0.0018056171905407765,0.037183861582891754,0.04250036650882647,0.05056741213161031,low
cmc_fixed62_historical_current,daily,2018-08-13 00:00:00+00:00,-0.03953753030192484,0.0371050949794272,0.042464693540262534,0.05050288123970024,low
cmc_fixed62_historical_current,daily,2018-08-14 00:00:00+00:00,-0.0218606388090061,0.037605216997736564,0.04245911678058939,0.050438350347790165,low
cmc_fixed62_historical_current,daily,2018-08-15 00:00:00+00:00,0.016905095644924966,0.037346530318334764,0.04245830233507572,0.050383816042361654,low
cmc_fixed62_historical_current,daily,2018-08-16 00:00:00+00:00,0.010007912426659516,0.03478834922795099,0.042442910718029685,0.05032928173713708,low
cmc_fixed62_historical_current,daily,2018-08-17 00:00:00+00:00,0.08196012315273864,0.03194486326476183,0.042412941929820876,0.05027474743191249,low
cmc_fixed62_historical_current,daily,2018-08-18 00:00:00+00:00,-0.04772232761020567,0.03617267098933802,0.04236079723708307,0.050228100115191285,low
cmc_fixed62_historical_current,daily,2018-08-19 00:00:00+00:00,0.01858167462662263,0.036870637014066975,0.04228911719118147,0.05018145279863334,low
cmc_fixed62_historical_current,daily,2018-08-20 00:00:00+00:00,-0.05317393932087935,0.03678476241842208,0.04219790179349083,0.0501348054820754,low
cmc_fixed62_historical_current,daily,2018-08-21 00:00:00+00:00,0.02906363614641599,0.037385856100399274,0.04216003185006824,0.050075647411009554,low
cmc_fixed62_historical_current,daily,2018-08-22 00:00:00+00:00,-0.02725039135094073,0.03805039051113928,0.0421255053875901,0.05001648933968099,low
cmc_fixed62_historical_current,daily,2018-08-23 00:00:00+00:00,0.026908855617538727,0.03795086313445265,0.04209432240607692,0.049957331268352424,low
cmc_fixed62_historical_current,daily,2018-08-24 00:00:00+00:00,0.023898807568503603,0.03511779428980514,0.04207834386193629,0.04985183249445723,low
cmc_fixed62_historical_current,daily,2018-08-25 00:00:00+00:00,0.002921260208291983,0.03568539777765803,0.04204165351854259,0.04974633371957499,low
