term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
const,0.05761248281552726,0.0035797351850440215,16.09406278325551,2.8079116499207883e-58,0.05059633077865015,0.06462863485240437,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
abs_market_return,0.31421438441884747,0.06482736602065059,4.846940477556273,1.2538002480477727e-06,0.18715508180577664,0.44127368703191827,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return_sq,-0.23035850339433928,0.21059620393227055,-1.0938397705802163,0.2740252580484266,-0.6431194783824421,0.1824024715937635,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return,0.049002886956446536,0.031297170411241415,1.5657289880380216,0.11741207690262996,-0.01233843986759927,0.11034421378049233,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
abs_market_return,1.104599476195442,0.06463557558180383,17.089651732078153,1.7722913176736755e-65,0.97791607593509,1.2312828764557942,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return_sq,-2.0509908721656727,0.3565801148381944,-5.751837488459928,8.827863968679532e-09,-2.74987505485169,-1.3521066894796552,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
const,0.004476961162758193,0.003421552280674999,1.3084590839205252,0.1907176437952639,-0.0022291580785856876,0.011183080404102073,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return,0.8521370180007569,0.037871632400150436,22.500667755672765,4.0886049286654374e-112,0.7779099824607218,0.926364053540792,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return_sq,0.14700580686153386,0.280786697574875,0.5235497554948559,0.6005917359156114,-0.4033260077231613,0.697337621446229,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return_cu,-3.0660386864805256,0.9328107974858442,-3.2868816428200214,0.0010130340144583077,-4.894314253942866,-1.237763119018185,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
const,0.05835899930295137,0.003485315773008224,16.744250192452697,6.237140763491986e-63,0.05152790591310587,0.06519009269279687,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return,0.07211904356007645,0.029780292000761387,2.421703707882804,0.015447940146446532,0.013750743789497866,0.13048734333065504,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
abs_market_return,0.26032883700546766,0.05485253969935018,4.745976000971778,2.075033158770662e-06,0.15281983473418778,0.3678378392767475,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
market_return_sq,0.06070497656259666,0.2272300374642153,0.26715207742795277,0.7893520721726096,-0.38465771307295255,0.5060676661981458,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,weekly,baseline
