symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
ADAUSDT,2025-04-23 13:30:00+00:00,5,3,4,10834,5389,2194,1.0
AVAXUSDT,2025-04-23 13:30:00+00:00,5,5,4,8335,6414,1147,1.0
AVAXUSDT,2025-04-23 13:45:00+00:00,3,5,3,2730,1988,487,11.7
SOLUSDT,2025-04-23 14:00:00+00:00,5,3,5,9419,4680,2102,8.2125
XRPUSDT,2025-04-23 14:00:00+00:00,5,2,5,10492,4197,2113,11.6125
DOGEUSDT,2025-04-23 18:00:00+00:00,4,3,4,3731,1781,731,16.275
SOLUSDT,2025-04-23 19:15:00+00:00,4,3,4,4149,2148,941,26.9375
SOLUSDT,2025-04-23 22:00:00+00:00,3,3,3,2141,1143,470,43.7
AVAXUSDT,2025-04-24 01:00:00+00:00,1,5,1,432,314,85,225.225
DOGEUSDT,2025-04-24 03:45:00+00:00,4,3,3,4124,2185,825,16.275
ETHUSDT,2025-04-24 05:00:00+00:00,4,1,4,5366,1523,547,106.55
AVAXUSDT,2025-04-24 06:00:00+00:00,1,5,1,326,214,73,225.225
BTCUSDT,2025-04-24 08:15:00+00:00,5,2,5,14109,4395,1209,57.2
DOGEUSDT,2025-04-24 11:30:00+00:00,3,3,2,2065,1060,459,36.4125
ADAUSDT,2025-04-24 14:45:00+00:00,4,4,3,3508,2149,714,6.0125
ADAUSDT,2025-04-24 15:00:00+00:00,5,4,5,10901,6256,2211,1.275
DOGEUSDT,2025-04-24 15:00:00+00:00,4,3,4,4775,2183,989,16.275
ADAUSDT,2025-04-24 15:45:00+00:00,5,3,4,9000,4142,1802,1.0
XRPUSDT,2025-04-24 16:30:00+00:00,4,2,4,4157,1812,872,29.925
SOLUSDT,2025-04-24 19:45:00+00:00,3,3,3,1830,891,433,43.7
XRPUSDT,2025-04-24 23:00:00+00:00,2,4,2,1527,885,279,31.5375
BTCUSDT,2025-04-25 00:00:00+00:00,5,5,5,41657,30343,2123,1.175
BTCUSDT,2025-04-25 00:15:00+00:00,5,4,5,18958,10966,1423,1.4
BTCUSDT,2025-04-25 00:30:00+00:00,5,4,5,13821,8176,1260,1.4
SOLUSDT,2025-04-25 00:45:00+00:00,2,3,3,1691,884,401,16.0375
XRPUSDT,2025-04-25 01:15:00+00:00,4,3,4,3998,1932,868,32.2375
XRPUSDT,2025-04-25 04:15:00+00:00,2,4,2,1647,939,338,31.5375
BTCUSDT,2025-04-25 04:45:00+00:00,4,3,4,7427,3589,1126,14.5875
BTCUSDT,2025-04-25 06:45:00+00:00,5,3,5,8158,4056,1185,3.325
